category	name	google_place_id	invStored	invName
food	Walmart Neighborhood Market	ChIJrynCZu8_w4gR8rDlKGcCg90	shopping	Walmart Neighborhood Market
food	Walmart Supercenter	ChIJSyV70OZGw4gR24GvPAAirZs	shopping	Walmart Supercenter
food	Walmart Supercenter	ChIJg5rKWoQ8w4gReLqtLt8OfXY	shopping	Walmart Supercenter
food	Walmart Supercenter	ChIJzyCMHF85w4gRLus5Hmi61hg	shopping	Walmart Supercenter
food	Walmart Supercenter	ChIJzzni3Bw_w4gRgzofX1W7s_c	shopping	Walmart Supercenter
food	Walmart Supercenter	ChIJ61OVnm9Dw4gREtKLkoAN6Yw	shopping	Walmart Supercenter
food	Walmart Supercenter	ChIJa6IC_lg9w4gRtBEEGPzimuA	shopping	Walmart Supercenter
food	Walmart Supercenter	ChIJK0IviS9Xw4gRGTsdFSYu5XU	shopping	Walmart Supercenter
food	Walmart Supercenter	ChIJl0XNMo4Ww4gRfko-FDdpT8o	shopping	Walmart Supercenter
food	Walmart Supercenter	ChIJr8q8LbJUw4gReTAIf9EpQR8	shopping	Walmart Supercenter
food	Walmart Supercenter	ChIJQyZoydA9w4gRT1slfVTtd6k	shopping	Walmart Supercenter
food	Whole Foods Market	ChIJb4Nc-dk4w4gRBAKqAMOLg28	shopping	Whole Foods Market
food	Whole Foods Market	ChIJp3R2lhJAw4gRKDtrxDZI8AM	shopping	Whole Foods Market
hotels	Anna Maria Island Resorts	ChIJsyHYtvkRw4gReXtbVjrynHo	attractions	Anna Maria Island
hotels	Sun Outdoors Sarasota	ChIJiUH9VYFHw4gRafiCP4AhW64	attractions	Sun Outdoors Sarasota
hotels	Turtle Beach Campground	ChIJlfhHga1Dw4gRHiBwxSG_UUk	attractions	Turtle Beach Campground
nightlife	1592 Wood Fired Kitchen & Cocktails	ChIJr1xnGG1Aw4gRgQvFL3emTcI	food	1592 | Wood Fired Kitchen & Cocktails
nightlife	Applebee's Grill + Bar	ChIJZdLIPMw8w4gRvJ4orrz3iRM	food	Applebee's Grill + Bar
nightlife	Arcade Monsters Lido Beach	ChIJJ1O7nANrw4gRH8y1qHMjpRs	food	Arcade Monsters
nightlife	Beef 'O' Brady's	ChIJm3mgIqYkw4gR-7sq0vNGiMQ	food	Beef 'O' Brady's
nightlife	Buffalo Wild Wings	ChIJXc3D8YZUw4gRUDoWwf_-5kw	food	Buffalo Wild Wings
nightlife	Bunker Hill Vineyard & Winery	ChIJp06QT0KKdYgRQTDXmi2GC4Y	attractions	Bunker Hill Vineyard & Winery
nightlife	Clasico	ChIJ9wI8shNAw4gRtX6n6ntWKaE	food	Clasico Italian Chophouse
